fecha,temp_media,humedad_media,precipitacion,riego_estimado
2025-07-03,5.9,85,0.0,1.87
2025-07-03,5.1,82,0.0,1.3
2025-07-03,4.3,82,0.0,1.06
2025-07-03,4.1,77,0.0,1.21
2025-07-03,3.5,76,0.0,1.9
2025-07-03,3.0,75,0.0,1.93
2025-07-03,1.8,81,0.0,0.84
2025-07-03,2.0,78,0.0,0.91
2025-07-03,5.0,68,0.0,1.46
2025-07-03,7.9,62,0.0,2.25
2025-07-03,10.0,59,0.0,2.65
2025-07-03,11.5,55,0.0,3.92
2025-07-03,12.5,53,0.0,3.44
2025-07-03,13.2,47,0.0,4.35
2025-07-03,13.5,43,0.0,4.37
2025-07-03,13.1,46,0.0,4.16
2025-07-03,12.1,52,0.0,4.15
2025-07-03,10.4,63,0.0,3.02
2025-07-03,8.3,81,0.0,2.42
2025-07-03,6.6,96,0.0,1.53
2025-07-03,5.9,100,0.0,1.18
2025-07-03,5.3,94,0.0,1.61
2025-07-03,5.0,77,0.0,1.66
2025-07-03,3.7,75,0.0,1.52
2025-07-04,3.1,70,0.0,1.31
2025-07-04,2.6,71,0.0,1.05
2025-07-04,1.1,80,0.0,0.83
2025-07-04,1.8,70,0.0,0.77
2025-07-04,1.5,68,0.0,1.94
2025-07-04,1.6,64,0.0,1.16
2025-07-04,1.6,59,0.0,1.55
2025-07-04,1.3,58,0.0,2.44
2025-07-04,5.1,48,0.0,2.68
2025-07-04,8.4,37,0.0,3.01
2025-07-04,11.0,30,0.0,3.15
2025-07-04,12.4,26,0.0,3.88
2025-07-04,13.3,25,0.0,3.9
2025-07-04,13.8,26,0.0,4.1
2025-07-04,13.8,29,0.0,4.3
2025-07-04,13.4,32,0.0,4.64
2025-07-04,12.4,37,0.0,4.08
2025-07-04,11.0,44,0.0,3.48
2025-07-04,8.8,56,0.0,3.04
2025-07-04,7.1,68,0.0,2.16
2025-07-04,6.0,68,0.0,2.39
2025-07-04,5.1,61,0.0,2.06
2025-07-04,4.5,55,0.0,1.98
2025-07-04,3.6,59,0.0,2.45
2025-07-05,3.1,62,0.0,1.74
2025-07-05,2.9,65,0.0,1.64
2025-07-05,2.8,68,0.0,1.37
2025-07-05,2.5,71,0.0,1.18
2025-07-05,2.3,72,0.0,1.31
2025-07-05,2.6,67,0.0,1.22
2025-07-05,2.1,66,0.0,1.8
2025-07-05,2.4,60,0.0,1.31
2025-07-05,5.7,49,0.0,2.52
2025-07-05,8.7,41,0.0,3.39
2025-07-05,11.3,26,0.0,4.02
2025-07-05,12.8,19,0.0,4.32
2025-07-05,13.8,18,0.0,4.52
2025-07-05,14.3,22,0.0,4.54
2025-07-05,14.3,28,0.0,4.5
2025-07-05,13.9,32,0.0,3.72
2025-07-05,12.9,37,0.0,4.16
2025-07-05,11.5,43,0.0,2.98
2025-07-05,9.3,55,0.0,3.08
2025-07-05,7.4,67,0.0,2.21
2025-07-05,6.4,69,0.0,2.49
2025-07-05,5.5,66,0.0,1.67
2025-07-05,4.7,65,0.0,2.59
2025-07-05,3.8,68,0.0,1.57
2025-07-06,3.6,68,0.0,1.95
2025-07-06,3.3,71,0.0,1.81
2025-07-06,2.5,75,0.0,1.3
2025-07-06,3.5,67,0.0,1.85
2025-07-06,3.6,63,0.0,2.15
2025-07-06,3.7,59,0.0,1.62
2025-07-06,3.8,56,0.0,2.36
2025-07-06,4.2,53,0.0,2.1
2025-07-06,6.1,49,0.0,2.45
2025-07-06,8.7,45,0.0,3.0
2025-07-06,11.0,41,0.0,3.4
2025-07-06,12.6,36,0.0,4.01
2025-07-06,13.9,30,0.0,3.68
2025-07-06,14.6,28,0.0,5.06
2025-07-06,14.5,31,0.0,4.69
2025-07-06,13.8,37,0.0,4.41
2025-07-06,12.7,45,0.0,4.2
2025-07-06,10.9,58,0.0,3.54
2025-07-06,8.6,74,0.0,2.5
2025-07-06,6.8,83,0.0,2.21
2025-07-06,5.9,82,0.0,2.33
2025-07-06,5.5,74,0.0,1.85
2025-07-06,5.1,67,0.0,1.62
2025-07-06,4.3,62,0.0,2.01
2025-07-07,3.5,57,0.0,1.88
2025-07-07,3.0,53,0.0,1.82
2025-07-07,3.1,49,0.0,1.65
2025-07-07,3.7,44,0.0,2.12
2025-07-07,4.1,41,0.0,2.03
2025-07-07,3.9,39,0.0,2.42
2025-07-07,3.6,37,0.0,2.27
2025-07-07,4.0,36,0.0,2.41
2025-07-07,6.0,34,0.0,3.08
2025-07-07,8.7,32,0.0,3.14
2025-07-07,11.1,31,0.0,3.86
2025-07-07,12.8,31,0.0,4.43
2025-07-07,14.1,31,0.0,4.87
2025-07-07,14.8,33,0.0,4.5
2025-07-07,14.7,35,0.0,4.44
2025-07-07,14.0,38,0.0,4.05
2025-07-07,12.8,44,0.0,3.78
2025-07-07,10.9,55,0.0,3.63
2025-07-07,8.6,69,0.0,2.45
2025-07-07,6.7,79,0.0,2.26
2025-07-07,5.7,84,0.0,1.94
2025-07-07,5.1,86,0.0,1.74
2025-07-07,4.7,86,0.0,1.93
2025-07-07,4.5,82,0.0,1.96
2025-07-08,4.4,75,0.0,2.2
2025-07-08,4.4,70,0.0,1.41
2025-07-08,3.4,46,0.0,2.36
2025-07-08,3.5,38,0.0,2.38
2025-07-08,3.6,34,0.0,2.11
2025-07-08,3.0,35,0.0,2.09
2025-07-08,2.4,39,0.0,1.84
